"ID";"RegioS";"Perioden";"TotaleBevolking_1"
"3717";"GM1901";"2020JJ00";"   34869"
"3743";"GM0755";"2020JJ00";"   10784"
"3769";"GM0009";"2020JJ00";""
"3795";"GM0064";"2020JJ00";""
"3821";"GM0211";"2020JJ00";""
"3847";"GM0108";"2020JJ00";""
"3873";"GM1681";"2020JJ00";"   25558"
"3899";"GM0897";"2020JJ00";""
"3925";"GM0147";"2020JJ00";"   23313"
"3951";"GM0654";"2020JJ00";"   22738"
"3977";"GM0499";"2020JJ00";""
"4003";"GM0756";"2020JJ00";"   29371"
"4029";"GM0757";"2020JJ00";"   30803"
"4055";"GM0212";"2020JJ00";""
"4081";"GM0758";"2020JJ00";"  184271"
"4107";"GM0194";"2020JJ00";""
"4133";"GM0311";"2020JJ00";""
"4159";"GM0501";"2020JJ00";"   17282"
"4185";"GM0898";"2020JJ00";""
"4211";"GM1876";"2020JJ00";"   36052"
"4237";"GM0656";"2020JJ00";""
"4263";"GM0657";"2020JJ00";""
"4289";"GM0213";"2020JJ00";"   20756"
"4315";"GM0899";"2020JJ00";"   27817"
"4341";"GM0759";"2020JJ00";""
"4367";"GM0312";"2020JJ00";"   15191"
"4393";"GM0313";"2020JJ00";"   21867"
"4419";"GM0214";"2020JJ00";"   26742"
"4445";"GM0381";"2020JJ00";""
"4471";"GM0502";"2020JJ00";"   67151"
"4497";"GM0383";"2020JJ00";"   35988"
"4523";"GM0760";"2020JJ00";""
"4549";"GM0109";"2020JJ00";"   35296"
"4575";"GM0314";"2020JJ00";""
"4601";"GM1706";"2020JJ00";"   21166"
"4627";"GM0611";"2020JJ00";""
"4653";"GM1684";"2020JJ00";"   25139"
"4679";"GM0216";"2020JJ00";"   28956"
"4705";"GM0110";"2020JJ00";""
"4731";"GM0148";"2020JJ00";"   28585"
"4757";"GM0065";"2020JJ00";""
"4783";"GM1891";"2020JJ00";"   18916"
"4809";"GM0503";"2020JJ00";"  103659"
"4835";"GM0010";"2020JJ00";"   24666"
"4861";"GM0149";"2020JJ00";""
"4887";"GM0762";"2020JJ00";"   32474"
"4913";"GM0150";"2020JJ00";"  100718"
"4939";"GM0218";"2020JJ00";""
"4965";"GM0384";"2020JJ00";"   30781"
"4991";"GM0151";"2020JJ00";""
"5017";"GM0152";"2020JJ00";""
"5043";"GM0763";"2020JJ00";""
"5069";"GM0111";"2020JJ00";""
"5095";"GM1774";"2020JJ00";"   26470"
"5121";"GM0764";"2020JJ00";""
"5147";"GM0219";"2020JJ00";""
"5173";"GM0504";"2020JJ00";""
"5199";"GM0220";"2020JJ00";""
"5225";"GM0221";"2020JJ00";"   11078"
"5251";"GM0222";"2020JJ00";"   58009"
"5277";"GM0660";"2020JJ00";""
"5303";"GM0766";"2020JJ00";"   26226"
"5329";"GM0058";"2020JJ00";""
"5355";"GM0315";"2020JJ00";""
"5381";"GM0505";"2020JJ00";"  119300"
"5407";"GM0498";"2020JJ00";"   19717"
"5433";"GM0316";"2020JJ00";""
"5459";"GM1719";"2020JJ00";"   27274"
"5485";"GM0303";"2020JJ00";"   41569"
"5511";"GM0767";"2020JJ00";""
"5537";"GM0225";"2020JJ00";"   18918"
"5563";"GM0662";"2020JJ00";""
"5589";"GM0226";"2020JJ00";"   25124"
"5615";"GM0768";"2020JJ00";""
"5641";"GM0769";"2020JJ00";""
"5667";"GM0112";"2020JJ00";""
"5693";"GM0902";"2020JJ00";""
"5719";"GM0227";"2020JJ00";""
"5745";"GM1711";"2020JJ00";"   31618"
"5771";"GM0385";"2020JJ00";"   36201"
"5797";"GM0228";"2020JJ00";"  117166"
"5823";"GM0113";"2020JJ00";""
"5849";"GM0317";"2020JJ00";"    9247"
"5875";"GM1651";"2020JJ00";""
"5901";"GM0770";"2020JJ00";"   19314"
"5927";"GM0357";"2020JJ00";""
"5953";"GM0229";"2020JJ00";""
"5979";"GM0905";"2020JJ00";""
"6005";"GM1903";"2020JJ00";"   25753"
"6031";"GM0772";"2020JJ00";"  234456"
"6057";"GM0230";"2020JJ00";"   23161"
"6083";"GM0231";"2020JJ00";""
"6109";"GM0114";"2020JJ00";"  107055"
"6135";"GM0388";"2020JJ00";"   18592"
"6161";"GM0153";"2020JJ00";"  159734"
"6187";"GM0232";"2020JJ00";"   33186"
"6213";"GM0233";"2020JJ00";"   27005"
"6239";"GM0776";"2020JJ00";""
"6265";"GM0777";"2020JJ00";"   43880"
"6291";"GM0068";"2020JJ00";""
"6317";"GM1722";"2020JJ00";""
"6343";"GM0778";"2020JJ00";""
"6369";"GM0070";"2020JJ00";""
"6395";"GM1921";"2020JJ00";""
"6421";"GM1940";"2020JJ00";"   51567"
"6447";"GM0653";"2020JJ00";""
"6473";"GM0115";"2020JJ00";""
"6499";"GM0779";"2020JJ00";"   21538"
"6525";"GM0236";"2020JJ00";""
"6551";"GM0781";"2020JJ00";""
"6577";"GM1771";"2020JJ00";"   39733"
"6603";"GM0906";"2020JJ00";""
"6629";"GM0782";"2020JJ00";""
"6655";"GM1652";"2020JJ00";"   30725"
"6681";"GM0237";"2020JJ00";""
"6707";"GM0238";"2020JJ00";""
"6733";"GM0154";"2020JJ00";""
"6759";"GM0907";"2020JJ00";"   16924"
"6785";"GM0689";"2020JJ00";""
"6811";"GM0116";"2020JJ00";""
"6837";"GM0784";"2020JJ00";"   26438"
"6863";"GM0511";"2020JJ00";""
"6889";"GM1924";"2020JJ00";"   50049"
"6915";"GM0664";"2020JJ00";"   38080"
"6941";"GM0785";"2020JJ00";"   23906"
"6967";"GM1942";"2020JJ00";"   58041"
"6993";"GM0156";"2020JJ00";""
"7019";"GM0512";"2020JJ00";"   37009"
"7045";"GM0239";"2020JJ00";""
"7071";"GM0513";"2020JJ00";"   73443"
"7097";"GM0693";"2020JJ00";""
"7123";"GM0365";"2020JJ00";""
"7149";"GM0157";"2020JJ00";""
"7175";"GM0786";"2020JJ00";"   12437"
"7201";"GM0390";"2020JJ00";""
"7227";"GM0517";"2020JJ00";""
"7253";"GM0518";"2020JJ00";"  545163"
"7279";"GM0787";"2020JJ00";""
"7305";"GM0519";"2020JJ00";""
"7331";"GM0240";"2020JJ00";""
"7357";"GM0241";"2020JJ00";""
"7383";"GM0014";"2020JJ00";"  232922"
"7409";"GM0015";"2020JJ00";""
"7435";"GM0912";"2020JJ00";""
"7461";"GM0913";"2020JJ00";""
"7487";"GM1729";"2020JJ00";"   14176"
"7513";"GM0158";"2020JJ00";"   24309"
"7539";"GM0788";"2020JJ00";"   14371"
"7565";"GM0392";"2020JJ00";"  162961"
"7591";"GM0393";"2020JJ00";""
"7617";"GM0394";"2020JJ00";"  156039"
"7643";"GM0914";"2020JJ00";""
"7669";"GM1655";"2020JJ00";"   30277"
"7695";"GM0789";"2020JJ00";""
"7721";"GM0159";"2020JJ00";""
"7747";"GM0160";"2020JJ00";"   60940"
"7773";"GM0243";"2020JJ00";"   48429"
"7799";"GM0523";"2020JJ00";"   18295"
"7825";"GM0017";"2020JJ00";""
"7851";"GM0395";"2020JJ00";""
"7877";"GM0072";"2020JJ00";"   15720"
"7903";"GM0318";"2020JJ00";""
"7929";"GM0161";"2020JJ00";""
"7955";"GM0244";"2020JJ00";"   12213"
"7981";"GM0117";"2020JJ00";""
"8007";"GM0245";"2020JJ00";""
"8033";"GM1937";"2020JJ00";""
"8059";"GM0396";"2020JJ00";"   39188"
"8085";"GM0397";"2020JJ00";"   27239"
"8111";"GM0246";"2020JJ00";"   18587"
"8137";"GM0074";"2020JJ00";"   50494"
"8163";"GM0247";"2020JJ00";""
"8189";"GM0398";"2020JJ00";"   57592"
"8215";"GM0526";"2020JJ00";""
"8241";"GM0917";"2020JJ00";"   87057"
"8267";"GM0791";"2020JJ00";""
"8293";"GM0793";"2020JJ00";""
"8319";"GM1658";"2020JJ00";"   16150"
"8345";"GM0399";"2020JJ00";"   23974"
"8371";"GM0162";"2020JJ00";""
"8397";"GM0918";"2020JJ00";""
"8423";"GM0400";"2020JJ00";"   56305"
"8449";"GM0163";"2020JJ00";"   35923"
"8475";"GM0530";"2020JJ00";"   40158"
"8501";"GM0794";"2020JJ00";"   92432"
"8527";"GM0795";"2020JJ00";""
"8553";"GM0531";"2020JJ00";"   31204"
"8579";"GM0248";"2020JJ00";""
"8605";"GM0164";"2020JJ00";"   81147"
"8631";"GM0796";"2020JJ00";"  155113"
"8657";"GM0251";"2020JJ00";""
"8683";"GM0252";"2020JJ00";"   16450"
"8709";"GM0797";"2020JJ00";"   44699"
"8735";"GM0920";"2020JJ00";""
"8761";"GM0534";"2020JJ00";"   22208"
"8787";"GM0798";"2020JJ00";"   15514"
"8813";"GM0402";"2020JJ00";"   90883"
"8839";"GM1963";"2020JJ00";"   87461"
"8865";"GM0253";"2020JJ00";""
"8891";"GM0799";"2020JJ00";""
"8917";"GM1735";"2020JJ00";"   35013"
"8943";"GM1966";"2020JJ00";"   47834"
"8969";"GM1911";"2020JJ00";"   48434"
"8995";"GM0165";"2020JJ00";""
"9021";"GM0675";"2020JJ00";""
"9047";"GM0801";"2020JJ00";""
"9073";"GM0802";"2020JJ00";""
"9099";"GM0800";"2020JJ00";""
"9125";"GM0118";"2020JJ00";"   55697"
"9151";"GM0018";"2020JJ00";""
"9177";"GM0405";"2020JJ00";"   73232"
"9203";"GM0923";"2020JJ00";""
"9229";"GM1507";"2020JJ00";"   42433"
"9255";"GM0321";"2020JJ00";"   50146"
"9281";"GM0803";"2020JJ00";""
"9307";"GM0255";"2020JJ00";""
"9333";"GM0406";"2020JJ00";"   41273"
"9359";"GM0677";"2020JJ00";"   27556"
"9385";"GM0256";"2020JJ00";""
"9411";"GM0925";"2020JJ00";""
"9437";"GM0195";"2020JJ00";""
"9463";"GM0191";"2020JJ00";""
"9489";"GM0353";"2020JJ00";"   34110"
"9515";"GM0645";"2020JJ00";""
"9541";"GM1884";"2020JJ00";"   27300"
"9567";"GM0166";"2020JJ00";"   54340"
"9593";"GM0678";"2020JJ00";"   12691"
"9619";"GM0537";"2020JJ00";"   65754"
"9645";"GM0928";"2020JJ00";"   45744"
"9671";"GM0257";"2020JJ00";""
"9697";"GM0929";"2020JJ00";""
"9723";"GM0258";"2020JJ00";""
"9749";"GM0804";"2020JJ00";""
"9775";"GM1598";"2020JJ00";"   22752"
"9801";"GM0079";"2020JJ00";""
"9827";"GM0588";"2020JJ00";""
"9853";"GM0542";"2020JJ00";"   29533"
"9879";"GM1931";"2020JJ00";"   56319"
"9905";"GM1659";"2020JJ00";"   22530"
"9931";"GM1685";"2020JJ00";"   15730"
"9957";"GM0882";"2020JJ00";"   37457"
"9983";"GM0415";"2020JJ00";"   11492"
"10009";"GM0325";"2020JJ00";""
"10035";"GM0416";"2020JJ00";"   28157"
"10061";"GM1621";"2020JJ00";"   62396"
"10087";"GM0417";"2020JJ00";"   11274"
"10113";"GM0022";"2020JJ00";""
"10139";"GM0805";"2020JJ00";""
"10165";"GM0545";"2020JJ00";""
"10191";"GM0326";"2020JJ00";""
"10217";"GM0080";"2020JJ00";"  124058"
"10243";"GM0081";"2020JJ00";""
"10269";"GM0546";"2020JJ00";"  125174"
"10295";"GM0547";"2020JJ00";"   27059"
"10321";"GM0548";"2020JJ00";""
"10347";"GM1916";"2020JJ00";"   76553"
"10373";"GM0995";"2020JJ00";"   78619"
"10399";"GM0082";"2020JJ00";""
"10425";"GM1640";"2020JJ00";"   35896"
"10451";"GM0327";"2020JJ00";"   30399"
"10477";"GM0260";"2020JJ00";""
"10503";"GM1673";"2020JJ00";""
"10529";"GM0806";"2020JJ00";""
"10555";"GM0261";"2020JJ00";""
"10581";"GM0552";"2020JJ00";""
"10607";"GM0807";"2020JJ00";""
"10633";"GM0694";"2020JJ00";""
"10659";"GM0418";"2020JJ00";""
"10685";"GM0733";"2020JJ00";""
"10711";"GM1705";"2020JJ00";"   46606"
"10737";"GM0553";"2020JJ00";"   22957"
"10763";"GM0808";"2020JJ00";""
"10789";"GM0140";"2020JJ00";""
"10815";"GM0262";"2020JJ00";"   33730"
"10841";"GM0329";"2020JJ00";""
"10867";"GM0809";"2020JJ00";"   23407"
"10893";"GM0330";"2020JJ00";""
"10919";"GM0331";"2020JJ00";"   14471"
"10945";"GM0024";"2020JJ00";"    9533"
"10971";"GM0168";"2020JJ00";"   22685"
"10997";"GM0810";"2020JJ00";""
"11023";"GM0811";"2020JJ00";""
"11049";"GM0332";"2020JJ00";""
"11075";"GM0333";"2020JJ00";""
"11101";"GM0334";"2020JJ00";""
"11127";"GM0933";"2020JJ00";""
"11153";"GM0934";"2020JJ00";""
"11179";"GM1671";"2020JJ00";""
"11205";"GM0263";"2020JJ00";"   25034"
"11231";"GM1641";"2020JJ00";"   23960"
"11257";"GM0555";"2020JJ00";""
"11283";"GM0556";"2020JJ00";"   33216"
"11309";"GM0935";"2020JJ00";"  121558"
"11335";"GM1665";"2020JJ00";""
"11361";"GM0812";"2020JJ00";""
"11387";"GM0936";"2020JJ00";""
"11413";"GM0686";"2020JJ00";""
"11439";"GM0169";"2020JJ00";""
"11465";"GM1663";"2020JJ00";""
"11491";"GM0025";"2020JJ00";""
"11517";"GM0264";"2020JJ00";""
"11543";"GM0420";"2020JJ00";"   45104"
"11569";"GM0993";"2020JJ00";""
"11595";"GM0938";"2020JJ00";"   18832"
"11621";"GM1948";"2020JJ00";"   81197"
"11647";"GM0941";"2020JJ00";""
"11673";"GM0083";"2020JJ00";""
"11699";"GM1908";"2020JJ00";""
"11725";"GM1987";"2020JJ00";""
"11751";"GM0119";"2020JJ00";"   33902"
"11777";"GM0687";"2020JJ00";"   48810"
"11803";"GM0559";"2020JJ00";""
"11829";"GM1842";"2020JJ00";"   19344"
"11855";"GM1731";"2020JJ00";"   33182"
"11881";"GM1952";"2020JJ00";"   60804"
"11907";"GM0688";"2020JJ00";""
"11933";"GM1697";"2020JJ00";""
"11959";"GM0814";"2020JJ00";""
"11985";"GM0815";"2020JJ00";"   10941"
"12011";"GM0265";"2020JJ00";""
"12037";"GM1709";"2020JJ00";"   37136"
"12063";"GM0816";"2020JJ00";""
"12089";"GM1978";"2020JJ00";"   43931"
"12115";"GM1927";"2020JJ00";""
"12141";"GM0562";"2020JJ00";""
"12167";"GM1955";"2020JJ00";"   36009"
"12193";"GM0335";"2020JJ00";"   13920"
"12219";"GM0944";"2020JJ00";"    7847"
"12245";"GM0563";"2020JJ00";""
"12271";"GM0424";"2020JJ00";""
"12297";"GM0565";"2020JJ00";""
"12323";"GM0425";"2020JJ00";""
"12349";"GM1740";"2020JJ00";"   24342"
"12375";"GM0426";"2020JJ00";""
"12401";"GM0643";"2020JJ00";""
"12427";"GM0946";"2020JJ00";"   17022"
"12453";"GM0266";"2020JJ00";""
"12479";"GM0304";"2020JJ00";""
"12505";"GM0412";"2020JJ00";""
"12531";"GM0356";"2020JJ00";"   63461"
"12557";"GM0567";"2020JJ00";""
"12583";"GM0817";"2020JJ00";""
"12609";"GM0569";"2020JJ00";"   28809"
"12635";"GM0571";"2020JJ00";""
"12661";"GM0170";"2020JJ00";""
"12687";"GM0818";"2020JJ00";""
"12713";"GM0104";"2020JJ00";""
"12739";"GM0121";"2020JJ00";""
"12765";"GM0267";"2020JJ00";"   43176"
"12791";"GM0268";"2020JJ00";"  177698"
"12817";"GM1930";"2020JJ00";"   85237"
"12843";"GM1970";"2020JJ00";"   45251"
"12869";"GM1695";"2020JJ00";"    7395"
"12895";"GM1699";"2020JJ00";"   31242"
"12921";"GM0529";"2020JJ00";""
"12947";"GM0171";"2020JJ00";"   47262"
"12973";"GM0575";"2020JJ00";"   43528"
"12999";"GM0576";"2020JJ00";""
"13025";"GM0577";"2020JJ00";""
"13051";"GM0120";"2020JJ00";""
"13077";"GM0820";"2020JJ00";"   23379"
"13103";"GM0302";"2020JJ00";"   27845"
"13129";"GM0951";"2020JJ00";""
"13155";"GM0429";"2020JJ00";""
"13181";"GM0122";"2020JJ00";""
"13207";"GM0579";"2020JJ00";"   24843"
"13233";"GM0823";"2020JJ00";"   18723"
"13259";"GM0824";"2020JJ00";"   26241"
"13285";"GM1895";"2020JJ00";"   38213"
"13311";"GM0269";"2020JJ00";"   23645"
"13337";"GM0173";"2020JJ00";"   31832"
"13363";"GM0174";"2020JJ00";""
"13389";"GM1773";"2020JJ00";"   18251"
"13415";"GM0175";"2020JJ00";"   18007"
"13441";"GM0881";"2020JJ00";""
"13467";"GM1586";"2020JJ00";"   29623"
"13493";"GM0825";"2020JJ00";""
"13519";"GM0692";"2020JJ00";""
"13545";"GM0123";"2020JJ00";""
"13571";"GM0826";"2020JJ00";"   55990"
"13597";"GM0580";"2020JJ00";""
"13623";"GM0085";"2020JJ00";"   25472"
"13649";"GM0431";"2020JJ00";"    9733"
"13675";"GM0176";"2020JJ00";""
"13701";"GM0432";"2020JJ00";"   11837"
"13727";"GM0086";"2020JJ00";"   29742"
"13753";"GM0828";"2020JJ00";"   91932"
"13779";"GM0829";"2020JJ00";""
"13805";"GM0831";"2020JJ00";""
"13831";"GM0584";"2020JJ00";""
"13857";"GM1509";"2020JJ00";"   39392"
"13883";"GM0830";"2020JJ00";""
"13909";"GM0437";"2020JJ00";"   14029"
"13935";"GM0644";"2020JJ00";""
"13961";"GM0589";"2020JJ00";"   10226"
"13987";"GM1734";"2020JJ00";"   47909"
"14013";"GM0590";"2020JJ00";"   32133"
"14039";"GM1894";"2020JJ00";"   43420"
"14065";"GM0124";"2020JJ00";""
"14091";"GM0765";"2020JJ00";"   12199"
"14117";"GM0594";"2020JJ00";""
"14143";"GM1926";"2020JJ00";"   55329"
"14169";"GM0832";"2020JJ00";""
"14195";"GM0439";"2020JJ00";"   81233"
"14221";"GM0833";"2020JJ00";""
"14247";"GM0273";"2020JJ00";"   24113"
"14273";"GM0177";"2020JJ00";"   37709"
"14299";"GM0834";"2020JJ00";""
"14325";"GM0835";"2020JJ00";""
"14351";"GM0595";"2020JJ00";""
"14377";"GM1661";"2020JJ00";""
"14403";"GM0703";"2020JJ00";"   22728"
"14429";"GM0274";"2020JJ00";"   31404"
"14455";"GM0339";"2020JJ00";"    5448"
"14481";"GM0836";"2020JJ00";""
"14507";"GM1667";"2020JJ00";"   13110"
"14533";"GM0275";"2020JJ00";"   43736"
"14559";"GM0340";"2020JJ00";"   20125"
"14585";"GM0597";"2020JJ00";"   46204"
"14611";"GM0837";"2020JJ00";""
"14637";"GM0602";"2020JJ00";""
"14663";"GM0196";"2020JJ00";""
"14689";"GM1672";"2020JJ00";""
"14715";"GM0841";"2020JJ00";""
"14741";"GM0178";"2020JJ00";""
"14767";"GM1742";"2020JJ00";"   38178"
"14793";"GM0603";"2020JJ00";"   54432"
"14819";"GM0125";"2020JJ00";""
"14845";"GM1669";"2020JJ00";"   20572"
"14871";"GM0957";"2020JJ00";"   58254"
"14897";"GM1670";"2020JJ00";""
"14923";"GM0126";"2020JJ00";""
"14949";"GM0736";"2020JJ00";"   44457"
"14975";"GM1674";"2020JJ00";"   77226"
"15001";"GM0838";"2020JJ00";""
"15027";"GM0839";"2020JJ00";""
"15053";"GM0276";"2020JJ00";""
"15079";"GM0599";"2020JJ00";"  651376"
"15105";"GM0600";"2020JJ00";""
"15131";"GM0277";"2020JJ00";"    1705"
"15157";"GM0840";"2020JJ00";"   22873"
"15183";"GM0127";"2020JJ00";""
"15209";"GM0128";"2020JJ00";""
"15235";"GM0278";"2020JJ00";""
"15261";"GM0704";"2020JJ00";""
"15287";"GM0604";"2020JJ00";""
"15313";"GM0441";"2020JJ00";"   46482"
"15339";"GM0039";"2020JJ00";""
"15365";"GM0458";"2020JJ00";""
"15391";"GM0279";"2020JJ00";"    9880"
"15417";"GM0606";"2020JJ00";"   78739"
"15443";"GM0088";"2020JJ00";"     947"
"15469";"GM0844";"2020JJ00";""
"15495";"GM0962";"2020JJ00";""
"15521";"GM0607";"2020JJ00";""
"15547";"GM0129";"2020JJ00";""
"15573";"GM0608";"2020JJ00";""
"15599";"GM0444";"2020JJ00";""
"15625";"GM1676";"2020JJ00";"   33858"
"15651";"GM0964";"2020JJ00";""
"15677";"GM0965";"2020JJ00";"   10552"
"15703";"GM1702";"2020JJ00";"   11672"
"15729";"GM0845";"2020JJ00";"   29203"
"15755";"GM0846";"2020JJ00";""
"15781";"GM0968";"2020JJ00";""
"15807";"GM1883";"2020JJ00";"   92422"
"15833";"GM0051";"2020JJ00";""
"15859";"GM0130";"2020JJ00";""
"15885";"GM0610";"2020JJ00";"   25217"
"15911";"GM0040";"2020JJ00";""
"15937";"GM1714";"2020JJ00";"   23217"
"15963";"GM1698";"2020JJ00";""
"15989";"GM0090";"2020JJ00";"   56154"
"16015";"GM0131";"2020JJ00";""
"16041";"GM0091";"2020JJ00";""
"16067";"GM0342";"2020JJ00";"   46607"
"16093";"GM0847";"2020JJ00";"   19376"
"16119";"GM0848";"2020JJ00";"   17321"
"16145";"GM0612";"2020JJ00";""
"16171";"GM0849";"2020JJ00";""
"16197";"GM1691";"2020JJ00";""
"16223";"GM0179";"2020JJ00";""
"16249";"GM0037";"2020JJ00";"   31688"
"16275";"GM0850";"2020JJ00";""
"16301";"GM0180";"2020JJ00";"   17144"
"16327";"GM0532";"2020JJ00";"   21734"
"16353";"GM0851";"2020JJ00";"   24501"
"16379";"GM0280";"2020JJ00";""
"16405";"GM0181";"2020JJ00";""
"16431";"GM1708";"2020JJ00";"   44139"
"16457";"GM0971";"2020JJ00";"   25000"
"16483";"GM1904";"2020JJ00";"   64928"
"16509";"GM0973";"2020JJ00";""
"16535";"GM0617";"2020JJ00";""
"16561";"GM1900";"2020JJ00";"   89987"
"16587";"GM0974";"2020JJ00";""
"16613";"GM0975";"2020JJ00";""
"16639";"GM0976";"2020JJ00";""
"16665";"GM0853";"2020JJ00";""
"16691";"GM0715";"2020JJ00";"   54438"
"16717";"GM0093";"2020JJ00";"    4889"
"16743";"GM0854";"2020JJ00";""
"16769";"GM0448";"2020JJ00";"   13573"
"16795";"GM1525";"2020JJ00";"   37426"
"16821";"GM0716";"2020JJ00";"   25758"
"16847";"GM0977";"2020JJ00";""
"16873";"GM0281";"2020JJ00";"   42161"
"16899";"GM0855";"2020JJ00";"  219800"
"16925";"GM0183";"2020JJ00";"   21279"
"16951";"GM1700";"2020JJ00";"   33743"
"16977";"GM1730";"2020JJ00";"   33879"
"17003";"GM0737";"2020JJ00";"   32046"
"17029";"GM0282";"2020JJ00";""
"17055";"GM0856";"2020JJ00";"   42122"
"17081";"GM0857";"2020JJ00";""
"17107";"GM0450";"2020JJ00";"   13649"
"17133";"GM0451";"2020JJ00";"   29466"
"17159";"GM0184";"2020JJ00";"   21033"
"17185";"GM0344";"2020JJ00";"  357694"
"17211";"GM1581";"2020JJ00";"   49601"
"17237";"GM0981";"2020JJ00";"   10099"
"17263";"GM0283";"2020JJ00";""
"17289";"GM0619";"2020JJ00";""
"17315";"GM0994";"2020JJ00";"   16360"
"17341";"GM0720";"2020JJ00";""
"17367";"GM0858";"2020JJ00";"   31200"
"17393";"GM0047";"2020JJ00";"   27387"
"17419";"GM0345";"2020JJ00";"   66491"
"17445";"GM0717";"2020JJ00";"   21885"
"17471";"GM0860";"2020JJ00";""
"17497";"GM0861";"2020JJ00";"   45458"
"17523";"GM0453";"2020JJ00";"   68660"
"17549";"GM0454";"2020JJ00";""
"17575";"GM0983";"2020JJ00";"  101797"
"17601";"GM0984";"2020JJ00";"   43604"
"17627";"GM0862";"2020JJ00";""
"17653";"GM0620";"2020JJ00";""
"17679";"GM0863";"2020JJ00";""
"17705";"GM1961";"2020JJ00";"   56816"
"17731";"GM0622";"2020JJ00";"   73445"
"17757";"GM0048";"2020JJ00";""
"17783";"GM0132";"2020JJ00";""
"17809";"GM0347";"2020JJ00";""
"17835";"GM0096";"2020JJ00";"    1152"
"17861";"GM0864";"2020JJ00";""
"17887";"GM0718";"2020JJ00";"   44365"
"17913";"GM0623";"2020JJ00";""
"17939";"GM0986";"2020JJ00";"   12471"
"17965";"GM0624";"2020JJ00";""
"17991";"GM0625";"2020JJ00";""
